,time_code,emotion_values.outofbreath,emotion_values.disgust,emotion_values.anger,emotion_values.cheekiness,emotion_values.grief,emotion_values.sadness,emotion_values.pain,emotion_values.joy,emotion_values.fear,emotion_values.amazement
0,0.03331249952316284,0.0,2.5905785150825977e-05,0.0,0.0,0.0,6.738978117937222e-05,0.0,3.22050582326483e-05,0.0,0.0
1,0.06662499904632568,0.0,2.7114721888210624e-05,0.0,0.0,0.0,7.053463923512027e-05,0.0,3.370796184753999e-05,0.0,0.0
2,0.10000000149011612,0.0,2.908932037826162e-05,0.0,0.0,0.0,7.567123975604773e-05,0.0,3.616270623751916e-05,0.0,0.0
3,0.13331249356269836,0.0,3.152465433231555e-05,0.0,0.0,0.0,8.200637967092916e-05,0.0,3.9190217648865655e-05,0.0,0.0
4,0.1666249930858612,0.0,3.421229848754592e-05,0.0,0.0,0.0,8.899786189431325e-05,0.0,4.253139195498079e-05,0.0,0.0
5,0.20000000298023224,0.0,3.701103196362965e-05,0.0,0.0,0.0,9.627832332625985e-05,0.0,4.601067121257074e-05,0.0,0.0
6,0.23331250250339508,0.0,3.982637281296775e-05,0.0,0.0,0.0,0.00010360197484260425,0.0,4.951058508595452e-05,0.0,0.0
7,0.26662498712539673,0.0,4.2596257117111236e-05,0.0,0.0,0.0,0.00011080737749580294,0.0,5.295399023452774e-05,0.0,0.0
8,0.30000001192092896,0.0,4.5281041820999235e-05,0.0,0.0,0.0,0.00011779141641454771,0.0,5.629160659736954e-05,0.0,0.0
9,0.3333125114440918,0.0,4.7856534365564585e-05,0.0,0.0,0.0,0.00012449114001356065,0.0,5.949335536570288e-05,0.0,0.0
10,0.36662501096725464,0.0,5.030911052017473e-05,0.0,0.0,0.0,0.0001308711216552183,0.0,6.254229811020195e-05,0.0,0.0
11,0.4000000059604645,0.0,5.090527702122927e-05,7.431625590470503e-07,0.0,0.0,0.00013242196291685104,0.0,6.480370939243585e-05,7.513843911510776e-07,0.0
12,0.4333125054836273,0.0,5.027667066315189e-05,1.9569949927245034e-06,0.0,0.0,0.000130786735098809,0.0,6.6505373979453e-05,1.978645514100208e-06,0.0
13,0.46662500500679016,0.0,4.886044189333916e-05,3.4540546494099544e-06,0.0,0.0,0.00012710265582427382,0.0,6.780729745514691e-05,3.4922677514259703e-06,0.0
14,0.499937504529953,0.0,4.695796815212816e-05,5.106215212435927e-06,0.0,0.0,0.00012215366587042809,0.0,6.882202433189377e-05,5.162706202099798e-06,0.0
15,0.5333124995231628,0.0,4.477585753193125e-05,6.826664957770845e-06,0.0,0.0,0.00011647725477814674,0.0,6.96288188919425e-05,6.90218985255342e-06,0.0
16,0.5666249990463257,0.0,4.245469608576968e-05,8.557321052649058e-06,0.0,0.0,0.00011043911217711866,0.0,7.028362597338855e-05,8.651993084640708e-06,0.0
17,0.6000000238418579,0.0,4.008910764241591e-05,1.0260032468067948e-05,0.0,0.0,0.00010428542736917734,0.0,7.082604861352593e-05,1.0373541954322718e-05,0.0
18,0.6333125233650208,0.0,3.7741810956504196e-05,1.1910432476724964e-05,0.0,0.0,9.817930549615994e-05,0.0,7.12841865606606e-05,1.2042200978612527e-05,0.0
19,0.6666250228881836,0.0,3.545340587152168e-05,1.3493648111762013e-05,0.0,0.0,9.222637891070917e-05,0.0,7.167809962993488e-05,1.364293166261632e-05,0.0
20,0.699999988079071,0.0,3.32492490997538e-05,1.5001304745965172e-05,0.0,0.0,8.649261872051284e-05,0.0,7.202217966550961e-05,1.5167268429649994e-05,0.0
21,0.7333124876022339,0.0,3.114421269856393e-05,1.642944334889762e-05,0.0,0.0,8.101670391624793e-05,0.0,7.232680945890024e-05,1.6611207684036344e-05,0.0
22,0.7666249871253967,0.0,0.0017720451578497887,1.703390444163233e-05,0.0,0.0,0.0006845845491625369,0.0,0.00012989301467314363,1.7222355381818488e-05,0.0
23,0.800000011920929,0.0,0.00461689243093133,1.7088141248677857e-05,0.0,0.0,0.001673989580012858,0.0,0.00022371878731064498,1.7277192455367185e-05,0.0
24,0.8333125114440918,0.0,0.008126087486743927,1.6781814338173717e-05,0.0,0.0,0.002895686775445938,0.0,0.0003393576480448246,1.6967474948614836e-05,0.0
25,0.8666250109672546,0.0,0.011999138630926609,1.624604374228511e-05,0.0,0.0,0.004244714044034481,0.0,0.0004669349000323564,1.6425778085249476e-05,0.0
26,0.8999375104904175,0.0,0.016032449901103973,1.5571085896226577e-05,0.0,0.0,0.005649950355291367,0.0,0.00059976038755849,1.5743351468699984e-05,0.0
27,0.9333124756813049,0.0,0.02008979581296444,1.4818692761764396e-05,0.0,0.0,0.007063805125653744,0.0,0.000733358261641115,1.4982633729232475e-05,0.0
28,0.9666249752044678,0.0,0.024081701412796974,1.4030753845872823e-05,0.0,0.0,0.008455012924969196,0.0,0.000864788715261966,1.4185979125613812e-05,0.0
