,timeCode,blendShapes.EyeBlinkLeft,blendShapes.EyeLookDownLeft,blendShapes.EyeLookInLeft,blendShapes.EyeLookOutLeft,blendShapes.EyeLookUpLeft,blendShapes.EyeSquintLeft,blendShapes.EyeWideLeft,blendShapes.EyeBlinkRight,blendShapes.EyeLookDownRight,blendShapes.EyeLookInRight,blendShapes.EyeLookOutRight,blendShapes.EyeLookUpRight,blendShapes.EyeSquintRight,blendShapes.EyeWideRight,blendShapes.JawForward,blendShapes.JawLeft,blendShapes.JawRight,blendShapes.JawOpen,blendShapes.MouthClose,blendShapes.MouthFunnel,blendShapes.MouthPucker,blendShapes.MouthLeft,blendShapes.MouthRight,blendShapes.MouthSmileLeft,blendShapes.MouthSmileRight,blendShapes.MouthFrownLeft,blendShapes.MouthFrownRight,blendShapes.MouthDimpleLeft,blendShapes.MouthDimpleRight,blendShapes.MouthStretchLeft,blendShapes.MouthStretchRight,blendShapes.MouthRollLower,blendShapes.MouthRollUpper,blendShapes.MouthShrugLower,blendShapes.MouthShrugUpper,blendShapes.MouthPressLeft,blendShapes.MouthPressRight,blendShapes.MouthLowerDownLeft,blendShapes.MouthLowerDownRight,blendShapes.MouthUpperUpLeft,blendShapes.MouthUpperUpRight,blendShapes.BrowDownLeft,blendShapes.BrowDownRight,blendShapes.BrowInnerUp,blendShapes.BrowOuterUpLeft,blendShapes.BrowOuterUpRight,blendShapes.CheekPuff,blendShapes.CheekSquintLeft,blendShapes.CheekSquintRight,blendShapes.NoseSneerLeft,blendShapes.NoseSneerRight,blendShapes.TongueOut,blendShapes.HeadRoll,blendShapes.HeadPitch,blendShapes.HeadYaw,blendShapes.TongueTipUp,blendShapes.TongueTipDown,blendShapes.TongueTipLeft,blendShapes.TongueTipRight,blendShapes.TongueRollUp,blendShapes.TongueRollDown,blendShapes.TongueRollLeft,blendShapes.TongueRollRight,blendShapes.TongueUp,blendShapes.TongueDown,blendShapes.TongueLeft,blendShapes.TongueRight,blendShapes.TongueIn,blendShapes.TongueStretch,blendShapes.TongueWide,blendShapes.TongueNarrow
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037039254675619304,0.0,0.0,0.0,0.0,0.0,0.0,0.0003915635752491653,0.0035121517721563578,0.000212488419492729,0.0,0.00146007991861552,0.00278676045127213,0.005585880018770695,0.003222645726054907,0.0,0.00021601146727334708,0.0,0.0,0.0006356565281748772,0.0005751778953708708,0.0,0.0,8.815136243356392e-05,8.827697456581518e-05,0.0,0.0,0.0015834944788366556,0.00036774962791241705,0.001011263462714851,0.0008966461173258722,0.00023574680380988866,0.00011188680218765512,3.7500223697861657e-05,0.0,0.0,0.0,6.543708877870813e-05,0.003108865348622203,0.0032971003092825413,0.0006437432602979243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010302955284714699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22647957503795624,0.0,0.0004466972313821316,0.0,0.006297089625149965,0.0,0.032475538551807404
1,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.000323827174725011,0.0,0.0,0.0,0.0,0.0,0.0,0.0003110844409093261,0.004373423755168915,0.00011709742102539167,0.00012468453496694565,0.0,0.0,0.004870428703725338,0.005397589411586523,0.0,0.0003851074434351176,0.0,0.0006349033792503178,0.0009839338017627597,0.0008106633904390037,0.0,0.0,0.00012538947339635342,0.00011635362170636654,0.0014671883545815945,0.0,0.005920566152781248,0.0012123470660299063,0.0020392981823533773,0.0018884328892454505,0.0001788020454114303,0.0,0.0004552431928459555,0.0002922180574387312,0.0,0.0,0.0,0.004048189613968134,0.004131717141717672,0.0010301334550604224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012265600264072418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22428923845291138,0.0,0.0006042058812454343,0.0,0.0075040836818516254,0.0,0.03652985394001007
2,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0001925471588037908,2.486627818143461e-05,0.0,0.0,0.0,0.0,0.0,0.00016216718358919024,0.005281003657728434,0.00014647339412476867,0.0003374136285856366,0.0,0.0,0.0004743410099763423,0.005232927389442921,0.0,0.0004713696544058621,0.0022673874627798796,0.003409033641219139,0.00019018106104340404,0.0,0.0,0.00010521543299546465,0.00024157539883162826,0.00023507435980718583,0.0038851473946124315,0.0,0.01059164758771658,0.002103399718180299,0.00266929785721004,0.002826281590387225,6.543115887325257e-05,0.0,0.0018514784751459956,0.0016280958661809564,0.0,0.0,0.0,0.0037839303258806467,0.0038307763170450926,0.0012029903009533882,0.0,0.0,4.735681159218075e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.013538265600800514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22541256248950958,0.0,0.00082867790479213,0.0,0.009538372047245502,0.0,0.03987767547369003
3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.000494480540510267,0.0,0.0,0.0,0.0,0.0,0.0,0.0004550661542452872,0.004858911503106356,0.00022304526646621525,0.0001312945387326181,0.0,0.0021103480830788612,0.0029901480302214622,0.008300579153001308,0.0,0.000498511828482151,0.0,0.0009818313410505652,0.0017057339427992702,0.0014538392424583435,0.0,1.3446107004710939e-05,0.00024522008607164025,0.00022339312999974936,0.00375570566393435,0.0,0.007676767185330391,0.0,0.004179099109023809,0.004188676830381155,0.00032018456840887666,0.0,0.0,0.0,0.0,0.0,0.0,0.005613087210804224,0.005605850834399462,0.0015765037387609482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011575071141123772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21849748492240906,0.0,0.000899840728379786,0.0,0.009568431414663792,0.0,0.03291856124997139
4,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0008916517253965139,0.0,0.0,0.0,0.0,0.0,0.0,0.0008244793280027807,0.005717731546610594,0.0002976399555336684,0.00013486860552802682,0.0,0.0,0.004060816485434771,0.00925969798117876,0.0,0.0005399889196269214,0.0,0.0012530912645161152,0.0013675553491339087,0.0010873549617826939,0.0,5.130848876433447e-05,0.00023396352480631322,0.0002225667267339304,0.0046789092011749744,0.0,0.009860067628324032,0.000961609126534313,0.0032653596717864275,0.0033195752184838057,0.0002518414403311908,0.0,7.248794281622395e-05,0.0,0.0,0.0,0.0,0.0051072160713374615,0.005048623774200678,0.0014792639994993806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01234425138682127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21950890123844147,0.0,0.0010610325261950493,0.0,0.011164097115397453,0.0,0.034670472145080566
5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,7.485552487196401e-05,7.241311686811969e-05,0.0,0.0,0.0,0.0,0.0,3.9079164707800373e-05,0.005839304067194462,0.00017318873142357916,0.00030041704303584993,0.0,0.0,0.004288424737751484,0.004120556637644768,0.0,0.00041696318658068776,0.000255810737144202,0.0017435153713449836,0.0002506904420442879,9.188598596665543e-06,0.0,9.85492515610531e-05,0.00033181640901602805,0.00032341977930627763,0.004408099222928286,0.0,0.00856598187237978,0.0028567910194396973,0.0012248207349330187,0.001445547677576542,0.00012627271644305438,0.0,0.002032206393778324,0.0019429652020335197,0.0,0.0,4.766079655382782e-05,0.0037904689088463783,0.0037488106172531843,0.0013956695329397917,0.0,0.0,7.517714493587846e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.014632555656135082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2274634838104248,0.0,0.0009881607256829739,0.0,0.011195395141839981,0.0,0.04276259243488312
6,0.2,0.00023714614508207887,0.0,0.0,0.0,0.0,0.0,0.0,0.000325434491969645,0.0,0.0,0.0,0.0,0.0,0.0,0.005462968721985817,0.00011169807112310082,0.00023669142683502287,0.0,0.0037295715883374214,0.009157835505902767,0.007807978894561529,0.0,0.0006354802171699703,0.0,0.0016620865790173411,0.002344046486541629,0.0019703221041709185,0.0,3.884143370669335e-05,0.00044538197107613087,0.00042360113002359867,0.005356243345886469,0.0,0.004335698205977678,0.0007012400892563164,0.0036600474268198013,0.003882483346387744,0.0004899249179288745,0.0,0.0,0.0,0.0,0.0,0.0,0.005855407565832138,0.005834817886352539,0.0023156036622822285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01823996566236019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23636962473392487,0.0,0.0013495846651494503,0.0,0.01490184385329485,0.0,0.05450422316789627
7,0.23333333333333334,0.0013694247463718057,0.0,0.0,0.0,0.0,0.0,0.0,0.0013649767497554421,0.0,0.0,0.0,0.0,0.0,0.0,0.005461800843477249,0.0,0.0007090634317137301,0.0,0.0,0.014205976389348507,0.0005315851885825396,0.0,0.0007101977244019508,0.0,0.0022605236154049635,0.000743358803447336,0.0003391298814676702,0.0,0.00020860746735706925,0.0006203536759130657,0.0006213304004631937,0.004781351890414953,0.0,0.0015195704763755202,0.00446436507627368,0.000455706991488114,0.0008774461457505822,0.0003375065862201154,0.0,0.0008205243502743542,0.001076341955922544,0.0,0.0,2.6713772967923433e-05,0.0057778507471084595,0.0058089918456971645,0.0021941286977380514,0.0,2.9451932277879678e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011132506653666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22609028220176697,0.0,0.0012942961184307933,0.0,0.013567563146352768,0.0,0.033783264458179474
8,0.26666666666666666,0.0004898770130239427,0.0,0.0,0.0,0.0,0.0,0.0,0.00047634015209041536,0.0,0.0,0.0,0.0,0.0,0.0,0.007347225211560726,0.0001512559683760628,0.00041860356577672064,0.002178972354158759,0.0,0.02091018296778202,0.001423652283847332,0.0,0.0006553006824105978,0.0,0.001734949997626245,0.0008700379403308034,0.00040247474680654705,0.0,9.674551984062418e-05,0.0007105112890712917,0.0007545798434875906,0.003253936767578125,0.0,0.00036425836151465774,0.005564503371715546,0.00023118585522752255,0.00040289355092681944,0.000244735274463892,0.0,0.0009215871104970574,0.0011626286432147026,0.0,0.0,2.9719798476435244e-05,0.0058758873492479324,0.0060094911605119705,0.002681863261386752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00997682474553585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22928595542907715,0.0,0.0008235245477408171,0.0,0.009853499010205269,0.0,0.03188762813806534
9,0.3,0.0008971744100563228,0.0,0.0,0.0,0.0,0.0,0.0,0.0009003971354104578,0.0,0.0,0.0,0.0,0.0,0.0,0.0052528684027493,0.0,0.0002587976341601461,0.0048988028429448605,0.001180322258733213,0.010595954954624176,0.004453474190086126,0.0,0.0003980339679401368,0.0,0.0009111508843488991,0.0018880305578932166,0.0016767047345638275,0.0,0.0,0.0003305934078525752,0.0002983990707434714,0.0045596943236887455,0.0,0.0009878649143502116,0.0019179551163688302,0.0007989276200532913,0.0009205369278788567,0.0003628645499702543,0.0,0.0,4.451250424608588e-05,0.0,0.0,0.00033629933022893965,0.00567730562761426,0.005737903993576765,0.0019325296161696315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00938648171722889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2273602932691574,0.0,0.0010064351372420788,0.0,0.011065769009292126,0.0,0.030342336744070053
