,time_code,emotion_values.outofbreath,emotion_values.disgust,emotion_values.anger,emotion_values.cheekiness,emotion_values.grief,emotion_values.sadness,emotion_values.pain,emotion_values.fear,emotion_values.joy,emotion_values.amazement
0,0.03331249952316284,0.0,3.5693625250132754e-05,0.0,0.0,0.0,0.0,0.0,0.0899018719792366,1.9784702089964412e-05,0.0
1,0.06662499904632568,0.0,3.73593284166418e-05,0.0,0.0,0.0,0.0,0.0,0.09409729391336441,2.0707988369395025e-05,0.0
2,0.10000000149011612,0.0,4.007997631561011e-05,0.0,0.0,0.0,0.0,0.0,0.10094982385635376,2.2216021534404717e-05,0.0
3,0.13331249356269836,0.0,4.343544424045831e-05,0.0,0.0,0.0,0.0,0.0,0.10940126329660416,2.407593092357274e-05,0.0
4,0.1666249930858612,0.0,4.713854650617577e-05,0.0,0.0,0.0,0.0,0.0,0.11872830986976624,2.6128533136215992e-05,0.0
5,0.20000000298023224,0.0,5.099471673020162e-05,0.0,0.0,0.0,0.0,0.0,0.12844087183475494,2.8265974833630025e-05,0.0
6,0.23331250250339508,0.0,5.487375528900884e-05,0.0,0.0,0.0,0.0,0.0,0.13821105659008026,3.041609852516558e-05,0.0
7,0.26662498712539673,0.0,5.8690162404673174e-05,0.0,0.0,0.0,0.0,0.0,0.1478234827518463,3.253150498494506e-05,0.0
8,0.30000001192092896,0.0,6.238932110136375e-05,0.0,0.0,0.0,0.0,0.0,0.1571405827999115,3.458191713434644e-05,0.0
9,0.3333125114440918,0.0,6.593789294129238e-05,0.0,0.0,0.0,0.0,0.0,0.16607840359210968,3.654886313597672e-05,0.0
10,0.36662501096725464,0.0,6.931710959179327e-05,0.0,0.0,0.0,0.0,0.0,0.17458967864513397,3.8421938370447606e-05,0.0
11,0.4000000059604645,0.0,7.157010986702517e-05,0.0,0.0,0.0,0.005993435624986887,0.0,0.17665858566761017,3.99796808778774e-05,0.0
12,0.4333125054836273,0.0,7.304226164706051e-05,0.0,0.0,0.0,0.015782713890075684,0.0,0.17447710037231445,4.1300248994957656e-05,0.0
13,0.46662500500679016,0.0,7.397481385851279e-05,0.0,0.0,0.0,0.02785615622997284,0.0,0.16956230998039246,4.243945295456797e-05,0.0
