name,value,timestamp
JawOpen,0.043358732014894485,0.0
MouthSmileLeft,0.04654882103204727,0.0
MouthSmileRight,0.03897860646247864,0.0
EyeBlinkLeft,0.0030665062367916107,0.0
EyeBlinkRight,0.0024679636117070913,0.0
JawOpen,0.06625411659479141,33.333333333333336
MouthSmileLeft,0.06984950602054596,33.333333333333336
MouthSmileRight,0.05978516861796379,33.333333333333336
EyeBlinkLeft,0.001507807057350874,33.333333333333336
EyeBlinkRight,0.0009227633127011359,33.333333333333336
JawOpen,0.16601784527301788,66.66666666666667
MouthSmileLeft,0.08249212056398392,66.66666666666667
MouthSmileRight,0.07051710784435272,66.66666666666667
EyeBlinkLeft,0.0,66.66666666666667
EyeBlinkRight,0.0,66.66666666666667
JawOpen,0.17564581334590912,100.0
MouthSmileLeft,0.06916366517543793,100.0
MouthSmileRight,0.0684608668088913,100.0
EyeBlinkLeft,0.0,100.0
EyeBlinkRight,0.0,100.0
JawOpen,0.20472991466522217,133.33333333333334
MouthSmileLeft,0.06456427276134491,133.33333333333334
MouthSmileRight,0.06497354805469513,133.33333333333334
EyeBlinkLeft,0.0,133.33333333333334
EyeBlinkRight,0.0,133.33333333333334
JawOpen,0.21726951003074646,166.66666666666666
MouthSmileLeft,0.03692343086004257,166.66666666666666
MouthSmileRight,0.04205935448408127,166.66666666666666
EyeBlinkLeft,0.0,166.66666666666666
EyeBlinkRight,0.0,166.66666666666666
JawOpen,0.16157576441764832,200.0
MouthSmileLeft,0.018853655084967613,200.0
MouthSmileRight,0.02893710508942604,200.0
EyeBlinkLeft,0.0,200.0
EyeBlinkRight,0.0,200.0
JawOpen,0.1001824140548706,233.33333333333334
MouthSmileLeft,0.0065610394813120365,233.33333333333334
MouthSmileRight,0.018457774072885513,233.33333333333334
EyeBlinkLeft,0.0,233.33333333333334
EyeBlinkRight,0.0,233.33333333333334
JawOpen,0.0958009660243988,266.6666666666667
MouthSmileLeft,0.003955821972340345,266.6666666666667
MouthSmileRight,0.013723148964345455,266.6666666666667
EyeBlinkLeft,0.0,266.6666666666667
EyeBlinkRight,0.0,266.6666666666667
JawOpen,0.15051648020744324,300.0
MouthSmileLeft,0.0,300.0
MouthSmileRight,0.008292174898087978,300.0
EyeBlinkLeft,0.0,300.0
EyeBlinkRight,0.0,300.0
JawOpen,0.18003687262535095,333.3333333333333
MouthSmileLeft,0.0,333.3333333333333
MouthSmileRight,0.007612466346472502,333.3333333333333
EyeBlinkLeft,0.0,333.3333333333333
EyeBlinkRight,0.0,333.3333333333333
JawOpen,0.14911387860774994,366.66666666666663
MouthSmileLeft,0.0,366.66666666666663
MouthSmileRight,0.005878909025341272,366.66666666666663
EyeBlinkLeft,0.0,366.66666666666663
EyeBlinkRight,0.0,366.66666666666663
JawOpen,0.10241829603910446,400.0
MouthSmileLeft,0.0,400.0
MouthSmileRight,0.006769527681171894,400.0
