,time_code,emotion_values.outofbreath,emotion_values.disgust,emotion_values.anger,emotion_values.grief,emotion_values.cheekiness,emotion_values.sadness,emotion_values.pain,emotion_values.joy,emotion_values.fear,emotion_values.amazement
0,0.03331249952316284,0.0,0.08966659754514694,0.0,0.0,0.0,0.00011794823512900621,0.0,0.0,0.00010683116124710068,0.0
1,0.06662499904632568,0.0,0.09385103732347488,0.0,0.0,0.0,0.00012345249706413597,0.0,0.0,0.0001118166110245511,0.0
2,0.10000000149011612,0.0,0.10068562626838684,0.0,0.0,0.0,0.0001324427721556276,0.0,0.0,0.00011995952081633732,0.0
3,0.13331249356269836,0.0,0.10911495238542557,0.0,0.0,0.0,0.00014353077858686447,0.0,0.0,0.00013000244507566094,0.0
4,0.1666249930858612,0.0,0.11841758340597153,0.0,0.0,0.0,0.00015576754231005907,0.0,0.0,0.00014108585310168564,0.0
5,0.20000000298023224,0.0,0.12810473144054413,0.0,0.0,0.0,0.00016851010150276124,0.0,0.0,0.00015262736997101456,0.0
6,0.23331250250339508,0.0,0.1378493458032608,0.0,0.0,0.0,0.00018132824334315956,0.0,0.0,0.00016423735360149294,0.0
7,0.26662498712539673,0.0,0.14743661880493164,0.0,0.0,0.0,0.0001939394132932648,0.0,0.0,0.0001756598794599995,0.0
8,0.30000001192092896,0.0,0.1567293405532837,0.0,0.0,0.0,0.00020616315305233002,0.0,0.0,0.000186731485882774,0.0
9,0.3333125114440918,0.0,0.16564378142356873,0.0,0.0,0.0,0.000217889275518246,0.0,0.0,0.00019735237583518028,0.0
10,0.36662501096725464,0.0,0.17413276433944702,0.0,0.0,0.0,0.00022905577498022467,0.0,0.0,0.00020746637892443687,0.0
11,0.4000000059604645,0.0,0.17619836330413818,0.0,0.0,0.0,0.006222655531018972,0.0,3.056437890336383e-06,0.00020992488134652376,0.0
12,0.4333125054836273,0.0,0.1740259975194931,0.0,0.0,0.0,0.016004905104637146,0.0,8.04862065706402e-06,0.0002073326031677425,0.0
13,0.46662500500679016,0.0,0.16912829875946045,0.0,0.0,0.0,0.028066761791706085,0.0,1.4205644220055547e-05,0.0002014923229580745,0.0
14,0.499937504529953,0.0,0.1625480055809021,0.0,0.0,0.0,0.04137672483921051,0.0,2.1000558263040148e-05,0.00019364681793376803,0.0
15,0.5333124995231628,0.0,0.1550000160932541,0.0,0.0,0.0,0.05523592233657837,0.0,2.8076328817405738e-05,0.00018464816093910486,0.0
16,0.5666249990463257,0.0,0.1469707489013672,0.0,0.0,0.0,0.06917676329612732,0.0,3.519407982821576e-05,0.00017507608572486788,0.0
17,0.6000000238418579,0.0,0.1387876570224762,0.0,0.0,0.0,0.08289212733507156,0.0,4.2196894355583936e-05,0.00016532080189790577,0.0
18,0.6333125233650208,0.0,0.13066770136356354,0.0,0.0,0.0,0.09618587791919708,0.0,4.8984573368215933e-05,0.00015564094064757228,0.0
19,0.6666250228881836,0.0,0.12275141477584839,0.0,0.0,0.0,0.1089382916688919,0.0,5.549593333853409e-05,0.00014620395086240023,0.0
20,0.699999988079071,0.0,0.11512650549411774,0.0,0.0,0.0,0.12108198553323746,0.0,6.169654079712927e-05,0.000137114358949475,0.0
21,0.7333124876022339,0.0,0.10784446448087692,0.0,0.0,0.0,0.13258510828018188,0.0,6.757011578883976e-05,0.0001284335448872298,0.0
22,0.7666249871253967,0.0,0.10092997550964355,0.0,0.0,0.0,0.14249326288700104,0.0,9.506503556622192e-05,0.0001304137404076755,0.0
23,0.800000011920929,0.0,0.09439391642808914,0.0,0.0,0.0,0.15116120874881744,0.0,0.00013613601913675666,0.00013931952707935125,0.0
24,0.8333125114440918,0.0,0.08823580294847488,0.0,0.0,0.0,0.15884549915790558,0.0,0.00018525526684243232,0.00015257191262207925,0.0
25,0.8666250109672546,0.0,0.08244778215885162,0.0,0.0,0.0,0.1657334864139557,0.0,0.00023865031835157424,0.00016839904128573835,0.0
26,0.8999375104904175,0.0,0.07701732963323593,0.0,0.0,0.0,0.17196343839168549,0.0,0.00029377100872807205,0.00018559179443400353,0.0
27,0.9333124756813049,0.0,0.07192908227443695,0.0,0.0,0.0,0.17763888835906982,0.0,0.0003489167138468474,0.0002033328782999888,0.0
28,0.9666249752044678,0.0,0.06716617941856384,0.0,0.0,0.0,0.1828385442495346,0.0,0.00040297582745552063,0.00022107738186605275,0.0
29,1.0,0.0,0.06271108984947205,0.0,0.0,0.0,0.18762336671352386,0.0,0.00045524389133788645,0.0002384692634223029,0.0
30,1.0333125591278076,0.0,0.058546215295791626,0.0,0.0,0.0,0.19204145669937134,0.0,0.000505296397022903,0.0002552828809712082,0.0
31,1.0666249990463257,0.0,0.05465424060821533,0.0,0.0,0.0,0.19613158702850342,0.0,0.000552900368347764,0.00027138247969560325,0.0
32,1.100000023841858,0.0,0.05101839825510979,0.0,0.0,0.0,0.19992566108703613,0.0,0.0005979525740258396,0.000286693568341434,0.0
33,1.133312463760376,0.0,0.04762261360883713,0.0,0.0,0.0,0.19875366985797882,0.0,0.0010372244287282228,0.0003008935309480876,0.0
34,1.1666250228881836,0.0,0.044451579451560974,0.0,0.0,0.0,0.1943606287240982,0.0,0.001725267618894577,0.00031408361974172294,0.0
