,time_code,emotion_values.outofbreath,emotion_values.disgust,emotion_values.anger,emotion_values.cheekiness,emotion_values.grief,emotion_values.sadness,emotion_values.pain,emotion_values.fear,emotion_values.joy,emotion_values.amazement
0,0.03331249952316284,0.0,0.00816261861473322,0.011642460711300373,0.0,0.0,0.0,0.0,0.0,0.012195306830108166,0.0
1,0.06662499904632568,0.0,0.008543540723621845,0.012185775674879551,0.0,0.0,0.0,0.0,0.0,0.012764421291649342,0.0
2,0.10000000149011612,0.0,0.00916571356356144,0.013073190115392208,0.0,0.0,0.0,0.0,0.0,0.013693975284695625,0.0
3,0.13331249356269836,0.0,0.009933060966432095,0.014167667366564274,0.0,0.0,0.0,0.0,0.0,0.014840424992144108,0.0
4,0.1666249930858612,0.0,0.010779907926917076,0.015375536866486073,0.0,0.0,0.0,0.0,0.0,0.0161056499928236,0.0
5,0.20000000298023224,0.0,0.011661757715046406,0.016633331775665283,0.0,0.0,0.0,0.0,0.0,0.017423171550035477,0.0
6,0.23331250250339508,0.0,0.012548839673399925,0.01789858750998974,0.0,0.0,0.0,0.0,0.0,0.018748510628938675,0.0
7,0.26662498712539673,0.0,0.013421597890555859,0.01914341375231743,0.0,0.0,0.0,0.0,0.0,0.02005244791507721,0.0
8,0.30000001192092896,0.0,0.014267542399466038,0.02034999616444111,0.0,0.0,0.0,0.0,0.0,0.021316325291991234,0.0
9,0.3333125114440918,0.0,0.015079048462212086,0.02150746062397957,0.0,0.0,0.0,0.0,0.0,0.0225287526845932,0.0
10,0.36662501096725464,0.0,0.015851827338337898,0.022609686478972435,0.0,0.0,0.0,0.0,0.0,0.023683317005634308,0.0
11,0.4000000059604645,0.0,0.01603967323899269,0.02288118191063404,0.0,0.0,0.0,0.0,3.6501157865131972e-06,0.02408551424741745,0.0
12,0.4333125054836273,0.0,0.01584160514175892,0.022604502737522125,0.0,0.0,0.0,0.0,9.611972018319648e-06,0.023988118395209312,0.0
13,0.46662500500679016,0.0,0.01539536938071251,0.021975219249725342,0.0,0.0,0.0,0.0,1.6964926544460468e-05,0.023566272109746933,0.0
14,0.499937504529953,0.0,0.014795921742916107,0.021128149703145027,0.0,0.0,0.0,0.0,2.5079674742300995e-05,0.02294088713824749,0.0
15,0.5333124995231628,0.0,0.01410836260765791,0.020155737176537514,0.0,0.0,0.0,0.0,3.352983185322955e-05,0.022195030003786087,0.0
16,0.5666249990463257,0.0,0.013376990333199501,0.01912088319659233,0.0,0.0,0.0,0.0,4.203012213110924e-05,0.02138538472354412,0.0
17,0.6000000238418579,0.0,0.012631621211767197,0.018065927550196648,0.0,0.0,0.0,0.0,5.039315510657616e-05,0.020550254732370377,0.0
18,0.6333125233650208,0.0,0.011892014183104038,0.017018940299749374,0.0,0.0,0.0,0.0,5.849925582879223e-05,0.01971517875790596,0.0
19,0.6666250228881836,0.0,0.011170963756740093,0.015998098999261856,0.0,0.0,0.0,0.0,6.627537368331105e-05,0.018896838650107384,0.0
20,0.699999988079071,0.0,0.010476458817720413,0.01501475553959608,0.0,0.0,0.0,0.0,7.368037040578201e-05,0.018105799332261086,0.0
21,0.7333124876022339,0.0,0.009813185781240463,0.01407557725906372,0.0,0.0,0.0,0.0,8.069482282735407e-05,0.01734841987490654,0.0
22,0.7666249871253967,0.0,0.009183583781123161,0.013180469162762165,0.0,0.0,4.2359906728961505e-06,0.0,8.539354894310236e-05,0.016551818698644638,0.0
23,0.800000011920929,0.0,0.008588572964072227,0.012332056649029255,0.0,0.0,1.1154774256283417e-05,0.0,8.848536526784301e-05,0.015745526179671288,0.0
24,0.8333125114440918,0.0,0.0080280601978302,0.011531118303537369,0.0,0.0,1.9687942767632194e-05,0.0,9.046548802871257e-05,0.014949028380215168,0.0
25,0.8666250109672546,0.0,0.007501297164708376,0.010777216404676437,0.0,0.0,2.910517832788173e-05,0.0,9.167972166324034e-05,0.014174859039485455,0.0
26,0.8999375104904175,0.0,0.007007119711488485,0.010069123469293118,0.0,0.0,3.891166124958545e-05,0.0,9.236927871825173e-05,0.013430762104690075,0.0
27,0.9333124756813049,0.0,0.006544114556163549,0.009405119344592094,0.0,0.0,4.877631727140397e-05,0.0,9.270225564250723e-05,0.01272119302302599,0.0
28,0.9666249752044678,0.0,0.006110736168920994,0.008783201687037945,0.0,0.0,5.8481688029132783e-05,0.0,9.279559890273958e-05,0.012048372998833656,0.0
29,1.0,0.0,0.005705380812287331,0.008201217278838158,0.0,0.0,6.788889004383236e-05,0.0,9.273053728975356e-05,0.011413020081818104,0.0
30,1.0333125591278076,0.0,0.005326441023498774,0.007656964007765055,0.0,0.0,7.691314385738224e-05,0.0,9.256326302420348e-05,0.010814853012561798,0.0
31,1.0666249990463257,0.0,0.004972337745130062,0.007148245349526405,0.0,0.0,8.550671191187575e-05,0.0,9.233257151208818e-05,0.010252943262457848,0.0
32,1.100000023841858,0.0,0.004641544073820114,0.006672917865216732,0.0,0.0,9.364703873870894e-05,0.0,9.206504910252988e-05,0.009725959971547127,0.0
33,1.133312463760376,0.0,0.004332594573497772,0.006228912156075239,0.0,0.0,9.841071732807904e-05,0.0,9.115397551795468e-05,0.009191904217004776,0.0
34,1.1666250228881836,0.0,0.004044095519930124,0.005814250558614731,0.0,0.0,0.000100873046903871,0.0,8.984067244455218e-05,0.008663908578455448,0.0
35,1.2000000476837158,0.0,0.003774727461859584,0.005427052732557058,0.0,0.0,0.00010178259253734723,0.0,8.829084254102781e-05,0.008150432258844376,0.0
36,1.2333124876022339,0.0,0.0035232456866651773,0.00506554264575243,0.0,0.0,0.00010165944695472717,0.0,8.661748142912984e-05,0.007656711153686047,0.0
37,1.2666250467300415,0.0,0.003288479521870613,0.0047280453145504,0.0,0.0,0.00010086409020004794,0.0,8.489687752444297e-05,0.007185771595686674,0.0
38,1.2999999523162842,0.0,0.003069329308345914,0.00441298633813858,0.0,0.0,9.964545461116359e-05,0.0,8.317981701111421e-05,0.0067391349002718925,0.0
39,1.3333125114440918,0.0,0.0028647647704929113,0.004118887707591057,0.0,0.0,9.817464160732925e-05,0.0,8.149942004820332e-05,0.00631730817258358,0.0
40,1.3666249513626099,0.0,0.0026738205924630165,0.0038443657103925943,0.0,0.0,9.656850306782871e-05,0.0,7.987658318597823e-05,0.0059201279655098915,0.0
41,1.399999976158142,0.0,0.0024955938570201397,0.0035881241783499718,0.0,0.0,9.490607044426724e-05,0.0,7.832380651962012e-05,0.005546992644667625,0.0
42,1.4333125352859497,0.0,0.0023292405530810356,0.0033489505294710398,0.0,0.0,9.324009442934766e-05,0.0,7.684785668971017e-05,0.005197030492126942,0.0
